ID,date_cer,kwh
2570,42744,3.13651481
2570,42745,3.09280557
2570,42746,3.081250253
2570,42747,0.121582025
2570,42748,0.060288608
2570,42801,0.044211646
2570,42802,0.055264557
2570,42803,0.054762152
2570,42804,0.044211646
2570,42805,0.060791013
2570,42806,0.055264557
2570,42807,0.043709241
2570,42808,0.060791013
2570,42809,0.055264557
2570,42810,0.044211646
2570,42811,2.706456076
2570,42812,4.851223291
2570,42813,4.475926709
2570,42814,3.522361899
2570,42815,3.384702911
2570,42816,3.456546835
2570,42817,3.583152911
2570,42818,3.53341481
2570,42819,0.799326456
2570,42820,0.055264557
2570,42821,0.043709241
2570,42822,0.055264557
2570,42823,0.060791013
2570,42824,0.055264557
2570,42825,0.043709241
2570,42826,0.060791013
2570,42827,0.055264557
2570,42828,0.054762152
2570,42829,0.044211646
2570,42830,0.060791013
2570,42831,0.055264557
2570,42832,0.054762152
2570,42833,0.044211646
2570,42834,4.52566481
2570,42835,5.931394177
2570,42836,4.945173038
2570,42837,4.464873797
2570,42838,4.354847089
2570,42839,6.201688101
2570,42840,6.124317722
2570,42841,5.699785443
2570,42842,6.008764557
2570,42843,5.749523544
2570,42844,5.628443924
2570,42845,5.710838354
2570,42846,5.925867722
2570,42847,0.490849747
2570,42848,0.060288608
2570,42901,0.044200506
2570,42902,0.055250633
2570,42903,0.044200506
2570,42904,0.060273418
2570,42905,0.055250633
2570,42906,0.044200506
2570,42907,0.054748354
2570,42908,0.04972557
2570,42909,0.055250633
2570,42910,0.055250633
2570,42911,2.95942481
2570,42912,5.488899241
2570,42913,4.904749367
2570,42914,4.078501266
2570,42915,3.907224304
2570,42916,3.990100253
2570,42917,0.402325063
2570,42918,0.060775696
2570,42919,0.043698228
2570,42920,0.055250633
2570,42921,0.055250633
2570,42922,0.04972557
2570,42923,0.054748354
2570,42924,0.055250633
2570,42925,0.055250633
2570,42926,0.060273418
2570,42927,0.044200506
2570,42928,0.055250633
2570,42929,0.055250633
2570,42930,0.060273418
2570,42931,0.055250633
2570,42932,0.044200506
2570,42933,0.055250633
2570,42934,5.058948861
2570,42935,5.830950886
2570,42936,3.648048608
2570,42937,3.858001013
2570,42938,3.532524557
2570,42939,3.262801013
2570,42940,3.488324051
2570,42941,3.185450127
